large_tile,small_tile,top_left_x,top_left_y,bottom_right_x,bottom_right_y
1001431.0.png,1001431.0_1.png,135,86,264,270
1013016.0.png,1013016.0_1.png,132,71,266,285
1025041.0.png,1025041.0_1.png,134,56,265,301
2002867.0.png,2002867.0_1.png,132,59,267,297
2076096.0.png,2076096.0_1.png,148,93,250,264
2120674.0.png,2120674.0_1.png,136,75,262,281
2203770.0.png,2203770.0_1.png,141,88,257,268
2325818.0.png,2325818.0_1.png,137,87,262,270
2327372.0.png,2327372.0_1.png,146,102,252,254
2358338.0.png,2358338.0_1.png,158,121,241,236
2392192.0.png,2392192.0_1.png,137,91,262,266
2392966.0.png,2392966.0_1.png,139,93,260,263
2394421.0.png,2394421.0_1.png,149,108,250,248
2395572.0.png,2395572.0_1.png,137,90,262,266
2401816.0.png,2401816.0_1.png,151,112,248,245
2414507.0.png,2414507.0_1.png,150,111,249,246
2419181.0.png,2419181.0_1.png,146,105,253,251
2438586.0.png,2438586.0_1.png,142,100,257,256
2451447.0.png,2451447.0_1.png,139,96,260,260
2474642.0.png,2474642.0_1.png,143,103,256,253
2486137.0.png,2486137.0_1.png,154,120,244,236
2554156.0.png,2554156.0_1.png,144,108,255,248
2581063.0.png,2581063.0_1.png,149,117,249,240
2593656.0.png,2593656.0_1.png,141,106,258,250
2619027.0.png,2619027.0_1.png,140,105,259,251
2624703.0.png,2624703.0_1.png,144,111,255,246
2627248.0.png,2627248.0_1.png,138,103,261,254
2657009.0.png,2657009.0_1.png,154,126,244,230
2681196.0.png,2681196.0_1.png,133,99,266,258
2691027.0.png,2691027.0_1.png,148,119,250,237
2692198.0.png,2692198.0_1.png,146,117,252,240
2698278.0.png,2698278.0_1.png,137,105,261,251
2701105.0.png,2701105.0_1.png,162,138,236,219
2708692.0.png,2708692.0_1.png,132,99,267,258
2709245.0.png,2709245.0_1.png,143,113,255,243
2711567.0.png,2711567.0_1.png,136,105,262,252
2714397.0.png,2714397.0_1.png,133,100,266,257
2725962.0.png,2725962.0_1.png,133,100,266,256
2747848.0.png,2747848.0_1.png,134,103,264,253
2754015.0.png,2754015.0_1.png,132,101,266,255
2759106.0.png,2759106.0_1.png,139,110,259,246
2772117.0.png,2772117.0_1.png,137,108,261,249
2779873.0.png,2779873.0_1.png,135,106,263,251
2798451.0.png,2798451.0_1.png,143,116,255,240
2799659.0.png,2799659.0_1.png,132,103,266,254
2799865.0.png,2799865.0_1.png,142,115,257,242
2809584.0.png,2809584.0_1.png,136,108,262,248
2819970.0.png,2819970.0_1.png,152,128,247,229
2841042.0.png,2841042.0_1.png,132,104,266,252
2853267.0.png,2853267.0_1.png,133,106,265,250
2858689.0.png,2858689.0_1.png,132,105,266,252
2859007.0.png,2859007.0_1.png,136,109,263,248
2862843.0.png,2862843.0_1.png,139,113,260,244
2887480.0.png,2887480.0_1.png,148,125,250,231
2915152.0.png,2915152.0_1.png,151,129,247,227
2938197.0.png,2938197.0_1.png,158,138,241,219
2948196.0.png,2948196.0_1.png,132,107,267,250
2948771.0.png,2948771.0_1.png,133,108,266,249
2969582.0.png,2969582.0_1.png,135,112,263,245
2977724.0.png,2977724.0_1.png,146,125,252,232
2990037.0.png,2990037.0_1.png,141,119,258,238
3006956.0.png,3006956.0_1.png,149,129,249,228
3025152.0.png,3025152.0_1.png,136,114,263,243
3040350.0.png,3040350.0_1.png,162,144,236,212
3052025.0.png,3052025.0_1.png,132,110,266,246
3052364.0.png,3052364.0_1.png,131,109,267,247
3075749.0.png,3075749.0_1.png,146,126,253,231
3102700.0.png,3102700.0_1.png,131,109,268,247
3124927.0.png,3124927.0_1.png,133,113,265,243
3136367.0.png,3136367.0_1.png,148,130,250,227
3144556.0.png,3144556.0_1.png,136,116,263,240
3150169.0.png,3150169.0_1.png,139,119,260,237
3151439.0.png,3151439.0_1.png,130,110,268,247
3152402.0.png,3152402.0_1.png,131,111,267,245
3153478.0.png,3153478.0_1.png,130,110,268,247
3157722.0.png,3157722.0_1.png,140,121,259,236
3162926.0.png,3162926.0_1.png,136,117,262,239
3164590.0.png,3164590.0_1.png,144,126,254,230
3171106.0.png,3171106.0_1.png,132,112,267,244
3171779.0.png,3171779.0_1.png,156,139,242,217
3178074.0.png,3178074.0_1.png,143,125,255,232
3179633.0.png,3179633.0_1.png,139,120,260,236
3180885.0.png,3180885.0_1.png,145,126,254,230
3196254.0.png,3196254.0_1.png,130,110,269,246
3208217.0.png,3208217.0_1.png,140,122,258,234
3212787.0.png,3212787.0_1.png,135,117,263,240
3217863.0.png,3217863.0_1.png,137,118,262,238
3225859.0.png,3225859.0_1.png,136,118,262,238
3236197.0.png,3236197.0_1.png,134,116,264,241
3243668.0.png,3243668.0_1.png,140,123,258,233
3244844.0.png,3244844.0_1.png,147,130,252,227
3251562.0.png,3251562.0_1.png,146,129,252,227
3261427.0.png,3261427.0_1.png,146,129,252,227
3267268.0.png,3267268.0_1.png,150,134,248,222
3270824.0.png,3270824.0_1.png,153,137,246,220
3276211.0.png,3276211.0_1.png,142,125,257,231
3279108.0.png,3279108.0_1.png,134,116,265,240
3284791.0.png,3284791.0_1.png,132,115,266,242
3285799.0.png,3285799.0_1.png,140,123,259,233
3285828.0.png,3285828.0_1.png,149,133,249,223
3287082.0.png,3287082.0_1.png,132,115,266,242
3313632.0.png,3313632.0_1.png,133,117,265,240
3320133.0.png,3320133.0_1.png,132,115,266,241
3322589.0.png,3322589.0_1.png,135,118,264,238
3324235.0.png,3324235.0_1.png,150,134,249,222
3336410.0.png,3336410.0_1.png,132,115,267,241
3347335.0.png,3347335.0_1.png,135,118,264,238
3354850.0.png,3354850.0_1.png,154,139,245,217
3361406.0.png,3361406.0_1.png,132,116,266,240
336209.0.png,336209.0_1.png,131,72,267,285
3363688.0.png,3363688.0_1.png,132,116,266,240
3373064.0.png,3373064.0_1.png,150,135,249,221
3376699.0.png,3376699.0_1.png,156,142,242,215
3378505.0.png,3378505.0_1.png,156,142,243,214
3383881.0.png,3383881.0_1.png,135,120,264,237
3386477.0.png,3386477.0_1.png,154,140,245,217
3391881.0.png,3391881.0_1.png,138,123,260,233
3396855.0.png,3396855.0_1.png,145,130,254,226
3409397.0.png,3409397.0_1.png,133,117,266,239
3421463.0.png,3421463.0_1.png,148,134,250,222
3425473.0.png,3425473.0_1.png,147,133,251,223
3441619.0.png,3441619.0_1.png,135,121,263,236
3448638.0.png,3448638.0_1.png,134,119,265,238
3449432.0.png,3449432.0_1.png,132,117,267,239
3487419.0.png,3487419.0_1.png,132,118,266,238
3493043.0.png,3493043.0_1.png,158,145,241,211
3498905.0.png,3498905.0_1.png,137,123,262,233
3499812.0.png,3499812.0_1.png,132,119,266,238
3499845.0.png,3499845.0_1.png,139,125,260,231
3513265.0.png,3513265.0_1.png,138,125,260,232
3528703.0.png,3528703.0_1.png,136,122,263,234
3543250.0.png,3543250.0_1.png,134,120,265,236
3544822.0.png,3544822.0_1.png,134,121,265,236
3557823.0.png,3557823.0_1.png,134,121,264,235
3562248.0.png,3562248.0_1.png,131,118,268,238
3563758.0.png,3563758.0_1.png,151,139,247,218
3565688.0.png,3565688.0_1.png,132,119,267,237
3570863.0.png,3570863.0_1.png,134,122,264,235
3572596.0.png,3572596.0_1.png,138,126,260,231
3576846.0.png,3576846.0_1.png,131,118,268,238
3581119.0.png,3581119.0_1.png,135,122,264,234
3584918.0.png,3584918.0_1.png,151,139,247,217
360059.0.png,360059.0_1.png,155,114,244,242
3607579.0.png,3607579.0_1.png,145,133,253,223
3619236.0.png,3619236.0_1.png,131,119,268,238
3619783.0.png,3619783.0_1.png,150,138,248,218
3651446.0.png,3651446.0_1.png,133,122,265,235
3670350.0.png,3670350.0_1.png,143,132,255,225
3672630.0.png,3672630.0_1.png,134,123,264,234
3672999.0.png,3672999.0_1.png,134,122,265,234
3674682.0.png,3674682.0_1.png,157,146,242,211
3675614.0.png,3675614.0_1.png,151,139,248,217
3684081.0.png,3684081.0_1.png,154,143,245,214
3693466.0.png,3693466.0_1.png,131,120,267,236
3704975.0.png,3704975.0_1.png,131,120,267,237
3709055.0.png,3709055.0_1.png,135,124,264,233
3709895.0.png,3709895.0_1.png,170,159,228,197
3712994.0.png,3712994.0_1.png,158,147,241,210
